database,MALE,weeks_to_death,albumin_avg,idwg_percent_avg,pre_sbp_avg,crp_avg,albumin_std,idwg_percent_std,pre_sbp_std,crp_std,albumin_count,idwg_percent_count,pre_sbp_count,crp_count,patient_count
FMC_AP,0,1,3.37369,4.592,132.777,33.324,0.58991,3.68,24.8983,31.3804,273,201,141,17,289
FMC_AP,0,2,3.22791,4.8184,116.133,51.75,0.60082,2.6871,17.6225,17.3241,43,25,15,2,44
FMC_AP,0,3,3.27,3.826,113.333,,0.72057,1.7371,26.6333,,15,12,3,0,20
FMC_AP,0,4,3.40741,3.8616,133.031,26.753,0.55841,2.7278,20.6859,38.1619,105,83,65,15,111
FMC_AP,0,5,3.50189,4.2613,137.718,34.734,0.51637,2.4576,24.6701,34.1948,421,341,259,38,432
FMC_AP,0,6,3.47345,4.8317,134.2,17.2,0.52331,2.8825,23.9878,,49,39,25,1,50
FMC_AP,0,7,3.62083,3.9639,141.667,73,0.559,3.2305,8.5049,,12,8,3,1,12
FMC_AP,0,8,3.38727,3.2799,132.4,25.6,0.57215,2.6086,32.1916,16.6877,15,14,5,2,15
FMC_AP,0,9,3.51726,4.2096,137.742,17.173,0.50403,2.5502,22.5849,23.1391,423,352,279,107,429
FMC_AP,0,10,3.52025,4.7483,133.855,25.977,0.55914,2.8942,25.4673,28.8224,114,93,62,13,121
FMC_AP,0,11,3.4385,4.8994,144.333,47.8,0.48824,1.9438,31.2453,29.9813,20,14,6,2,21
FMC_AP,0,12,3.21986,3.4325,112.5,,0.46921,2.632,45.9619,,7,4,2,0,7
FMC_AP,0,13,3.54383,4.1099,140.37,22.2,0.51636,2.439,23.4353,29.3167,244,200,154,26,250
FMC_AP,0,14,3.53252,4.1874,137.734,28.9,0.48366,2.3135,24.135,34.7478,269,223,156,30,279
FMC_AP,0,15,3.41935,5.9638,127.25,12,0.56416,3.3172,21.9177,12.1622,31,22,12,2,33
FMC_AP,0,16,3.2779,4.3589,134.5,65,0.65186,3.3967,36.0624,,10,4,2,1,10
FMC_AP,0,17,3.57737,4.2593,140.6,12.183,0.5197,2.3411,20.0544,20.6951,73,62,30,6,75
FMC_AP,0,18,3.57007,4.6454,138.419,33.368,0.45865,3.6465,22.4552,29.4356,392,323,260,40,404
FMC_AP,0,19,3.61091,4.2739,139.857,22.833,0.43105,2.6324,29.699,30.9529,55,48,21,3,60
FMC_AP,0,20,3.45455,2.917,139,65,0.36432,1.6922,18.5472,,11,9,5,1,11
FMC_AP,0,21,3.58767,3.2858,134.667,7.3,0.29519,1.9799,34.9094,,9,8,6,1,9
FMC_AP,0,22,3.58938,4.525,136.917,15.158,0.49314,3.318,23.5663,23.6504,367,300,228,88,374
FMC_AP,0,23,3.55117,4.3306,136.132,17.929,0.46,2.204,22.3452,24.2707,119,98,62,14,121
FMC_AP,0,24,3.62857,6.0194,115,23.1,0.46315,5.41,6,,14,10,4,1,15
FMC_AP,0,25,3.6018,2.2436,146,,0.24314,1.7504,,,5,4,1,0,5
FMC_AP,0,26,3.64295,4.2671,137.766,19.425,0.4587,2.3553,21.3519,21.2971,176,148,94,20,180
FMC_AP,0,27,3.61328,4.1503,137.818,23.852,0.45588,2.3956,24.3643,24.8067,280,248,170,21,286
FMC_AP,0,28,3.54677,4.1268,135.2,1,0.55572,1.9948,20.5091,,31,22,10,1,32
FMC_AP,0,29,3.4029,4.5129,146,,0.38224,5.8009,7.1181,,10,7,4,0,11
FMC_AP,0,30,3.58261,5.46,126.105,38.657,0.41596,3.6054,22.0628,43.1449,46,44,19,7,49
FMC_AP,0,31,3.62623,4.0503,136.13,19.291,0.47811,2.2497,23.5758,21.0866,376,327,224,33,388
FMC_AP,0,32,3.66569,4.3853,138.48,40.04,0.38891,2.0677,28.8937,33.4032,51,41,25,5,51
FMC_AP,0,33,3.6,3.3205,131.333,,0.5,0.9241,2.8868,,9,6,3,0,9
FMC_AP,0,34,3.3558,4.3145,115.5,31.4,0.32972,3.0602,20.5061,,5,5,2,1,5
FMC_AP,0,35,3.62501,4.3381,136.321,14.874,0.43559,2.3307,22.9131,20.1344,320,268,196,79,330
FMC_AP,0,36,3.62404,4.8076,141.966,20.35,0.42474,4.4554,18.3152,26.0515,131,111,59,14,134
FMC_AP,0,37,3.63235,3.6334,130.2,26.9,0.4081,1.8347,20.8495,,17,12,5,1,17
FMC_AP,0,38,3.437,4.7228,129.333,,0.25505,3.4174,21.1975,,7,6,3,0,8
FMC_AP,0,39,3.65525,4.2017,137.878,12.18,0.45002,2.2961,25.273,13.8332,150,136,82,20,156
FMC_AP,0,40,3.65298,4.3327,139.307,29.2,0.4156,2.637,20.5539,27.0206,268,234,153,12,274
FMC_AP,0,41,3.59404,3.7766,126.625,22.15,0.40029,1.5137,20.7635,29.2035,27,20,8,2,27
FMC_AP,0,42,3.52857,3.7392,136.333,,0.46803,0.7369,29.2632,,7,5,3,0,8
FMC_AP,0,43,3.62368,3.6818,126.882,13.417,0.43955,2.2068,21.6964,13.6352,38,32,17,6,39
FMC_AP,0,44,3.6652,4.3191,138.653,32.288,0.41702,2.299,21.5225,27.5158,334,302,193,17,344
FMC_AP,0,45,3.70276,4.8698,135.81,1.533,0.39538,3.8348,18.0572,0.8386,58,49,21,3,61
FMC_AP,0,46,3.53333,3.6555,132.667,,0.37979,1.7706,20.1329,,12,11,3,0,12
FMC_AP,0,47,3.4358,1.9697,120.5,,0.37638,0.8572,28.9914,,5,5,2,0,5
FMC_AP,0,48,3.65056,4.3773,141.427,11.6,0.43749,2.2211,21.2006,16.4311,277,246,157,51,282
FMC_AP,0,49,3.7045,4.1245,136.97,16.17,0.50704,2.435,24.4918,17.9271,131,109,67,23,134
FMC_AP,0,50,3.53059,4.7894,129,13.4,0.41098,2.2901,13.8564,17.3948,17,14,6,2,18
FMC_AP,0,51,3.61,5.6269,104,,0.49041,5.4241,5.6569,,5,4,2,0,5
FMC_AP,0,52,3.66768,4.7989,140.428,15.95,0.44445,4.3905,23.0444,19.6471,149,134,92,12,153
FMC_AP,0,53,3.6475,4.3157,137.626,23.767,0.41874,2.1562,23.9088,38.1945,229,201,107,18,232
FMC_AP,0,54,3.73077,4.5002,136.167,14.9,0.46197,3.048,13.2124,11.4551,26,18,6,2,26
FMC_AP,0,55,3.4875,3.7208,133,,0.41209,3.5988,7.0711,,8,4,2,0,8
FMC_AP,0,56,3.65177,4.295,122.25,45.8,0.37304,3.0929,18.3361,72.0401,22,19,8,3,23
FMC_AP,0,57,3.71275,4.3385,139.477,31.957,0.41924,2.4633,21.2393,45.8634,317,281,176,21,323
FMC_AP,0,58,3.78049,4.9419,140.308,,0.46272,2.2861,22.0582,,41,36,13,0,42
FMC_AP,0,59,3.6,4.6466,128.667,,0.50827,1.5166,35.8515,,13,9,3,0,14
FMC_AP,0,60,3.422,2.3927,105,,0.61026,1.8572,7.0711,,5,4,2,0,5
FMC_AP,0,61,3.69094,4.5676,139.419,16.764,0.44729,2.3893,23.3338,25.1698,241,207,136,59,246
FMC_AP,0,62,3.69681,4.4786,140.2,16.414,0.4722,2.1939,19.228,20.6146,117,96,50,7,120
FMC_AP,0,63,3.54286,4.383,136.8,,0.42916,2.135,20.8135,,14,11,5,0,15
FMC_AP,0,64,3.66667,3.0927,116.5,,0.20817,1.5657,4.9497,,3,3,2,0,4
FMC_AP,0,65,3.63122,4.3566,136.778,17.186,0.46091,1.9752,23.0727,23.4814,89,82,36,7,94
FMC_AP,0,66,3.71608,4.3059,137.977,15.921,0.42265,2.3031,26.1193,24.0149,248,212,133,14,253
FMC_AP,0,67,3.63913,4.3446,134.25,5.4,0.4878,2.3753,18.4759,,23,18,8,1,25
FMC_AP,0,68,3.7,6.4158,133.5,,0.40825,2.3778,4.9497,,4,2,2,0,4
FMC_AP,0,69,3.64636,4.5508,138.5,11.39,0.41551,1.764,4.9497,,11,10,2,1,11
FMC_AP,0,70,3.70321,4.5507,137.619,17.241,0.42982,3.6421,24.3679,24.2877,280,246,155,17,289
FMC_AP,0,71,3.77644,4.2133,135.5,30.3,0.45921,1.74,21.2139,35.0725,45,35,18,2,45
FMC_AP,0,72,3.415,5.4602,110.667,,0.67825,3.2675,36.8963,,10,7,3,0,10
FMC_AP,0,73,3.53,3.0522,116,,0.70852,0.8717,14.1421,,5,4,2,0,5
FMC_AP,0,74,3.68538,4.3255,134.661,10.579,0.43804,2.1262,22.6416,15.7716,215,190,112,56,218
FMC_AP,0,75,3.68928,5.0237,136.242,12.356,0.40739,3.5786,26.1208,13.0195,111,99,55,9,116
FMC_AP,0,76,3.61786,4.2743,137.875,,0.42949,2.0641,17.5707,,14,8,4,0,14
FMC_AP,0,77,3.7625,3.8774,101,,0.59354,0.7531,,,4,3,1,0,4
FMC_AP,0,78,3.68344,3.9303,135.714,8.033,0.51631,2.0029,29.2978,10.3407,72,66,28,6,75
FMC_AP,0,79,3.71532,4.4854,137.388,10.714,0.36859,2.4245,24.8581,8.0458,238,206,121,7,242
FMC_AP,0,80,3.6113,4.5736,127.75,,0.35011,2.2341,24.2413,,23,19,8,0,23
FMC_AP,0,81,3.48,3.9402,145.5,,0.56303,2.1422,7.7782,,5,4,2,0,5
FMC_AP,0,82,3.78656,3.9094,110.5,,0.40657,1.7372,14.8492,,9,9,2,0,9
FMC_AP,0,83,3.70672,4.6853,135.551,19.3,0.38033,2.5269,26.3091,23.6361,247,227,127,13,254
FMC_AP,0,84,3.72319,4.5228,134.286,4.833,0.30851,1.9804,21.5868,4.3753,53,43,28,3,55
FMC_AP,0,85,3.55714,3.222,123,,0.49618,1.0819,9.8995,,7,5,2,0,7
FMC_AP,0,86,3.755,2.5679,120.5,3.6,0.37784,2.246,0.7071,,4,3,2,1,4
FMC_AP,0,87,3.74946,4.1698,137.012,10.898,0.43045,1.9744,21.8968,15.0171,169,152,82,40,172
FMC_AP,0,88,3.7188,4.4452,138.115,10.737,0.36268,2.7035,25.3365,20.0918,117,105,61,16,122
FMC_AP,0,89,3.63636,3.7098,123.2,31.6,0.36131,2.4174,12.5379,20.2233,11,10,5,2,11
FMC_AP,0,90,3.3,6.6116,,,0.6245,1.9845,,,3,2,0,0,3
FMC_AP,0,91,3.74447,4.6667,127.846,1,0.41084,4.2525,26.3339,,47,43,13,1,50
FMC_AP,0,92,3.71055,4.3927,137.43,24.78,0.41872,1.9332,23.6553,32.2318,218,192,114,5,224
FMC_AP,0,93,3.71111,3.929,124.889,,0.32972,1.5663,18.306,,27,24,9,0,27
FMC_AP,0,94,3.63333,5.14,121.5,,0.25166,3.665,12.0208,,3,3,2,0,3
FMC_AP,0,95,3.56667,2.9489,120,,0.35119,0.7707,0,,3,3,2,0,3
FMC_AP,0,96,3.75044,4.2996,136.222,32.51,0.38299,1.8315,24.4557,26.3248,220,198,108,10,227
FMC_AP,0,97,3.6644,4.3806,132.783,11.4,0.46443,1.8954,22.5428,,50,47,23,1,50
FMC_AP,0,98,3.6375,3.1571,124,,0.38149,0.7078,22.6274,,8,6,2,0,8
FMC_AP,0,99,3.52633,3.9891,116.5,,0.41543,1.6719,23.3345,,3,3,2,0,3
FMC_AP,0,100,3.74287,4.1451,141.583,18.775,0.44276,2.1801,24.0718,34.1548,109,100,36,4,114
FMC_AP,0,101,3.72867,4.4916,137.024,14.925,0.38936,2.3124,24.8281,22.6892,151,138,84,8,152
FMC_AP,0,102,3.74545,3.8692,132,34,0.35879,2.1256,14.4222,,11,8,5,1,11
FMC_AP,0,103,3.6,3.4773,110,,0.2,2.4609,,,3,3,1,0,3
FMC_AP,0,104,3.6705,4.4466,140.667,73,0.50611,3.0919,21.5083,,40,37,12,1,41
FMC_AP,1,1,3.46842,4.0759,138.291,27.758,0.64632,2.4238,26.2678,27.0822,271,203,163,19,287
FMC_AP,1,2,3.41196,4.1618,140.917,11.4,0.55146,2.2508,24.6222,9.051,53,45,24,2,59
FMC_AP,1,3,3.37917,5.3983,134.5,,0.60143,2.4907,50.2046,,24,18,2,0,24
FMC_AP,1,4,3.48981,4.0543,136.287,28.378,0.54591,2.0044,19.1225,24.4997,134,109,94,32,140
FMC_AP,1,5,3.56963,4.2028,138.358,37.747,0.55453,2.6624,22.3705,38.3684,462,397,330,49,472
FMC_AP,1,6,3.65803,4.8181,139.719,7.2,0.56156,3.6025,22.6833,8.2307,61,55,32,6,65
FMC_AP,1,7,3.65714,4.31,135,110.9,0.4534,1.8267,21.7945,,21,13,3,1,21
FMC_AP,1,8,3.46111,4.3485,127.8,,0.59916,2.1107,17.9802,,18,14,10,0,19
FMC_AP,1,9,3.6143,4.1819,137.245,24.107,0.50706,2.3472,23.9335,29.2,494,427,351,128,507
FMC_AP,1,10,3.61309,4.3753,140.506,25.292,0.59182,2.1803,21.8708,31.3599,125,108,79,14,132
FMC_AP,1,11,3.63636,4.5859,139.833,2.3,0.56115,1.8775,21.3492,,33,27,12,1,35
FMC_AP,1,12,3.45833,5.2851,126,48,0.53336,2.2181,14.1421,,12,9,2,1,13
FMC_AP,1,13,3.61942,4.0302,138.252,27.652,0.52081,2.1631,22.2511,31.0618,316,265,220,45,333
FMC_AP,1,14,3.63578,4.1611,137.763,24.048,0.52969,2.1322,21.5355,21.7545,284,240,194,21,291
FMC_AP,1,15,3.81194,4.6387,149.6,22.05,0.53478,1.9282,33.3055,25.8094,35,30,15,2,38
FMC_AP,1,16,3.72222,5.1878,134,,0.47472,2.4799,,,18,11,1,0,18
FMC_AP,1,17,3.53768,4.6873,134.315,19.912,0.54297,2.937,22.4755,21.7276,79,72,46,17,81
FMC_AP,1,18,3.63831,4.0326,136.788,29.625,0.51944,2.4621,22.972,27.202,451,395,323,51,460
FMC_AP,1,19,3.72518,4.7541,137.4,6.067,0.5341,2.3738,23.1341,8.6354,73,63,35,6,75
FMC_AP,1,20,3.75,4.0398,131.5,,0.31024,2.1795,33.7688,,17,16,4,0,19
FMC_AP,1,21,3.37744,4.1838,126.7,,0.56766,2.326,16.2826,,16,14,10,0,16
FMC_AP,1,22,3.63707,4.0645,136.262,17.75,0.48539,2.0311,23.9907,24.7412,430,357,305,120,440
FMC_AP,1,23,3.70988,4.1979,138.31,64.133,0.55217,2.2226,20.3263,41.8246,115,102,71,9,120
FMC_AP,1,24,3.66541,4.6878,133,,0.52958,1.4949,24.8126,,22,19,7,0,22
FMC_AP,1,25,3.545,4.2747,138.5,,0.33904,2.2882,13.435,,6,5,2,0,7
FMC_AP,1,26,3.69608,4.3097,137.443,24.78,0.44207,2.3552,22.3218,31.5677,214,193,140,36,226
FMC_AP,1,27,3.67137,3.9613,138.643,31.056,0.53249,2.2132,23.2204,34.6633,310,269,221,25,319
FMC_AP,1,28,3.69345,4.0645,140,12.7,0.45909,1.831,21.6052,,49,44,24,1,51
FMC_AP,1,29,3.62308,5.4681,135.5,,0.4024,2.4797,21.9203,,13,12,2,0,14
FMC_AP,1,30,3.55376,5.42,129.375,18.399,0.47829,2.6509,23.6735,25.6689,55,47,32,11,56
FMC_AP,1,31,3.72449,4.1904,138.747,19.522,0.46118,2.2193,21.7376,22.136,403,348,289,41,413
FMC_AP,1,32,3.65661,4.3581,139.855,38.584,0.51553,1.9582,28.0491,24.2294,59,60,31,7,64
FMC_AP,1,33,3.73529,4.8616,129.333,,0.53026,3.0339,16.1658,,17,10,3,0,17
FMC_AP,1,34,3.32857,5.8071,145.667,9.3,0.47157,2.8456,15.0444,,7,5,3,1,7
FMC_AP,1,35,3.70652,4.1512,136.3,19.758,0.4905,2.002,24.1965,29.3055,372,322,263,92,379
FMC_AP,1,36,3.69687,4.5635,142.132,28.272,0.50074,2.2815,23.8598,32.8815,135,116,76,18,141
FMC_AP,1,37,3.68538,5.2276,146.889,89.3,0.37153,2.6986,26.27,97.1565,26,23,9,2,27
FMC_AP,1,38,3.37143,4.9137,150,,0.27516,1.9614,21.2132,,7,7,2,0,7
FMC_AP,1,39,3.70534,4.3919,135.183,22.538,0.45995,2.3226,19.1857,33.5828,161,140,104,21,171
FMC_AP,1,40,3.73851,4.2385,137.761,36.836,0.45871,2.1531,24.9731,29.4421,299,268,207,14,305
FMC_AP,1,41,3.73762,4.2618,145.375,,0.36472,2.2293,21.4969,,34,33,16,0,36
FMC_AP,1,42,3.66091,3.661,147,42.1,0.1855,1.7699,21.2132,,11,10,2,1,11
FMC_AP,1,43,3.61772,4.8022,128.348,13.542,0.47599,2.43,21.4128,17.9313,39,34,23,12,41
FMC_AP,1,44,3.73327,4.4148,140.031,36.23,0.46913,2.5899,21.9118,31.2848,371,332,254,30,384
FMC_AP,1,45,3.69618,4.497,147.909,21.8,0.43576,1.9802,23.7215,,71,60,33,1,74
FMC_AP,1,46,3.70625,4.571,132.5,29,0.32958,1.6939,33.0807,,16,12,4,1,16
FMC_AP,1,47,3.53625,3.6267,133,,0.61118,1.5484,25.5604,,8,7,4,0,8
FMC_AP,1,48,3.75164,4.2178,135.257,23.172,0.47564,2.1254,22.8336,31.0571,282,248,187,54,287
FMC_AP,1,49,3.68465,4.3387,141.234,27.202,0.46341,2.153,20.5943,37.1177,154,133,107,37,159
FMC_AP,1,50,3.78645,4.0017,146.444,31.9,0.37298,1.881,17.5222,26.8701,20,16,9,2,21
FMC_AP,1,51,3.25714,5.1218,137.5,63.8,0.40766,2.0817,10.6066,,7,6,2,1,7
FMC_AP,1,52,3.72119,4.1199,137.589,23.917,0.48234,2.16,24.3574,25.8494,172,152,124,23,176
FMC_AP,1,53,3.69705,4.3182,138.915,27.36,0.47456,1.9725,21.8843,29.296,255,217,159,15,265
FMC_AP,1,54,3.68273,4.1282,147.765,85.6,0.43879,2.0671,17.6158,,40,39,17,1,41
FMC_AP,1,55,3.64545,2.8867,128,,0.37779,1.5643,,,11,6,1,0,11
FMC_AP,1,56,3.438,3.9858,134.462,20.2,0.51906,2.368,26.6196,19.16,20,17,13,5,21
FMC_AP,1,57,3.74399,4.2887,136.898,27.074,0.48433,2.0593,22.9435,26.7343,335,279,226,23,342
FMC_AP,1,58,3.76054,4.3407,148.367,,0.44632,2.0886,21.1309,,54,55,30,0,57
FMC_AP,1,59,3.375,4.5909,90,,0.53828,1.1785,,,6,6,1,0,7
FMC_AP,1,60,3.35,3.0913,126.5,22.7,0.51478,1.0221,19.0919,,5,5,2,1,6
FMC_AP,1,61,3.74628,4.3116,142.192,21.777,0.47063,1.9517,24.9879,30.8042,271,236,187,78,276
FMC_AP,1,62,3.70344,4.1487,141.3,11.867,0.47648,1.9558,25.0601,17.8863,122,109,70,6,129
FMC_AP,1,63,3.77,4.8009,152.286,16.7,0.35997,2.342,21.2502,,20,20,7,1,22
FMC_AP,1,64,3.68,2.9155,133,,0.25884,1.9677,,,5,4,1,0,5
FMC_AP,1,65,3.72216,4.5343,137.152,38.3,0.40742,2.2637,21.3723,30.2242,101,86,66,18,107
FMC_AP,1,66,3.77167,4.0725,140.637,22.27,0.42681,2.0103,23.2639,31.3713,267,236,175,10,274
FMC_AP,1,67,3.74,4.7446,150.5,19.1,0.41474,2.5075,31.729,20.256,35,31,14,4,36
FMC_AP,1,68,3.67833,3.7726,143.667,,0.33529,2.6672,3.2146,,6,5,3,0,6
FMC_AP,1,69,3.3,4.4132,129,11.89,0.42426,1.5312,22.6274,,4,4,2,1,5
FMC_AP,1,70,3.77758,4.3265,140.891,37.606,0.41554,2.6565,21.8522,38.2358,317,286,202,16,326
FMC_AP,1,71,3.74016,4.3396,149.706,24.3,0.45413,1.8507,27.5104,17.9008,61,62,34,3,68
FMC_AP,1,72,3.72,4.4666,157,,0.35839,1.5521,24.8797,,10,8,3,0,10
FMC_AP,1,73,3.5,3.5417,148.5,,0.44721,1.5958,23.3345,,5,5,2,0,5
FMC_AP,1,74,3.79485,4.154,137.186,13.825,0.42994,2.1,23.3977,22.4689,233,212,154,64,238
FMC_AP,1,75,3.77234,4.4427,140.172,11.163,0.42802,1.9692,22.6748,14.499,115,106,64,8,123
FMC_AP,1,76,3.7375,4.592,146.6,11.1,0.4334,2.4018,21.3729,,16,16,5,1,17
FMC_AP,1,77,3.6018,4.6658,135,,0.37539,3.5139,,,5,4,1,0,5
FMC_AP,1,78,3.72885,4.484,135.561,15.571,0.37657,2.1902,21.7083,12.3748,62,57,41,7,68
FMC_AP,1,79,3.74971,3.9986,137.128,21.55,0.42681,2.0816,22.5256,20.5072,261,234,164,6,270
FMC_AP,1,80,3.74745,3.9928,144.118,,0.38606,2.6948,30.0185,,40,37,17,0,44
FMC_AP,1,81,3.52,4.3778,125.5,,0.32711,2.1069,7.7782,,5,3,2,0,5
FMC_AP,1,82,3.63714,5.0549,126,52.09,0.46079,1.405,45.2548,,7,6,2,1,7
FMC_AP,1,83,3.76661,4.3718,137.436,13.59,0.42251,2.1179,21.4179,16.5309,267,230,172,10,274
FMC_AP,1,84,3.74466,4.0006,138.857,19,0.44851,1.7944,23.1336,20.0818,58,54,28,2,64
FMC_AP,1,85,3.76667,4.1641,130,,0.32042,0.6142,,,6,5,1,0,6
FMC_AP,1,86,3.7,4.9559,158,,0.2,0.0979,,,3,3,1,0,3
FMC_AP,1,87,3.80359,4.4149,139.697,21.486,0.39679,2.42,27.0885,29.778,183,167,109,44,187
FMC_AP,1,88,3.74619,4.3722,142.025,13.165,0.46843,2.2658,21.0983,32.4694,134,122,80,20,141
FMC_AP,1,89,3.70132,4.4259,149.727,25.867,0.3798,2.2814,19.5402,13.8117,22,20,11,3,24
FMC_AP,1,90,4,3.4483,,,,,,,1,1,0,0,1
FMC_AP,1,91,3.73802,4.9778,141.783,49.4,0.32356,3.049,21.3987,,42,40,23,1,44
FMC_AP,1,92,3.78648,4.2037,138.334,59.975,0.41266,2.2866,23.7734,23.759,248,216,148,8,259
FMC_AP,1,93,3.73125,4.5411,141.417,,0.43436,1.9291,22.0267,,32,33,12,0,35
FMC_AP,1,94,3.8225,3.7245,140,,0.22366,2.1031,42.4264,,4,4,2,0,4
FMC_AP,1,95,3.60667,4.4898,143.5,,0.33486,0.4387,31.8198,,3,2,2,0,3
FMC_AP,1,96,3.82903,4.1913,138.146,33.417,0.42563,1.9282,22.4108,29.5261,240,206,137,12,246
FMC_AP,1,97,3.76244,4.4762,140.613,,0.38648,2.2085,25.3518,,61,59,31,0,68
FMC_AP,1,98,3.71667,4.7692,142.5,,0.09832,2.0178,3.5355,,6,5,2,0,6
FMC_AP,1,99,3.42333,10.7508,114.333,10.8,0.48952,11.1071,21.0792,,3,2,3,1,4
FMC_AP,1,100,3.81259,4.5896,136.804,28.217,0.44241,3.2352,23.3662,29.8012,123,108,56,6,125
FMC_AP,1,101,3.82348,4.2083,138.835,17.2,0.41598,1.8997,21.735,11.253,163,147,97,3,165
FMC_AP,1,102,3.54706,5.1158,142.429,,0.59489,2.2266,37.2955,,17,16,7,0,20
FMC_AP,1,104,3.73153,5.1724,132.95,26.733,0.47001,4.0772,19.392,37.6937,32,30,20,3,36
FMC_EUROPE,0,1,3.27676,2.6872,123.527,42.285,0.70929,1.8813,29.2411,45.7061,260,5182,5873,179,2357
FMC_EUROPE,0,2,3.37442,2.7921,125.753,32.906,0.65818,1.9662,29.0883,37.7546,354,5961,6468,218,2532
FMC_EUROPE,0,3,3.43173,2.7993,127.42,25.525,0.62807,1.8015,28.9804,33.1822,384,6346,6736,262,2609
FMC_EUROPE,0,4,3.44023,2.8459,128.387,27.002,0.61509,1.8663,28.6821,36.5402,417,6558,6885,285,2655
FMC_EUROPE,0,5,3.4892,2.8877,129.188,24.21,0.61036,1.9182,28.6107,33.6091,399,6605,6890,295,2650
FMC_EUROPE,0,6,3.49543,2.9042,129.257,23.925,0.59921,1.8337,27.8501,31.9259,414,6613,6843,265,2648
FMC_EUROPE,0,7,3.49555,2.9253,129.458,26.024,0.56504,1.8497,27.8844,32.9242,380,6617,6793,274,2619
FMC_EUROPE,0,8,3.5264,2.9572,129.275,23.436,0.56262,1.7691,27.8103,30.9463,436,6580,6714,275,2609
FMC_EUROPE,0,9,3.49622,2.9619,130.293,22.593,0.55435,1.7788,27.7654,32.577,414,6619,6688,300,2585
FMC_EUROPE,0,10,3.5451,3.0227,130.676,20.813,0.57729,1.8213,27.703,30.1547,390,6550,6661,272,2577
FMC_EUROPE,0,11,3.58469,2.9926,130.16,19.121,0.58319,1.768,27.5753,27.4009,394,6469,6545,299,2537
FMC_EUROPE,0,12,3.58483,2.9911,130.301,21.692,0.49233,1.6749,27.4146,28.429,435,6517,6530,286,2538
FMC_EUROPE,0,13,3.58268,2.997,130.595,16.112,0.52653,1.8689,27.3611,22.2765,378,6427,6441,277,2517
FMC_EUROPE,0,14,3.61117,3.0156,130.448,19.219,0.55013,1.7482,27.3373,28.0659,352,6339,6389,272,2485
FMC_EUROPE,0,15,3.59433,3.0239,130.851,17.993,0.4957,1.7699,27.3106,26.7683,407,6303,6314,275,2435
FMC_EUROPE,0,16,3.66712,3.0112,130.801,19.458,0.49905,1.7791,27.3888,28.8494,382,6255,6246,296,2447
FMC_EUROPE,0,17,3.61607,3.0245,130.49,17.948,0.51008,1.7455,26.71,26.3125,373,6176,6140,264,2405
FMC_EUROPE,0,18,3.61889,3.0347,131.019,17.311,0.5299,1.6504,26.9842,27.0992,355,6064,6067,263,2350
FMC_EUROPE,0,19,3.64216,3.0266,130.957,17.066,0.55455,1.7547,27.2517,26.0277,369,5993,5965,259,2321
FMC_EUROPE,0,20,3.67739,3.0793,130.839,16.722,0.4562,1.7643,27.0557,22.7334,368,5916,5887,259,2323
FMC_EUROPE,0,21,3.64369,3.0839,130.555,14.989,0.55619,1.7552,26.4726,21.8693,407,5896,5822,268,2292
FMC_EUROPE,0,22,3.61794,3.1139,131.274,14.236,0.57452,1.8072,26.677,22.3638,364,5789,5754,265,2248
FMC_EUROPE,0,23,3.6837,3.0802,130.972,14.639,0.5217,1.821,27.0419,22.4385,343,5749,5691,240,2221
FMC_EUROPE,0,24,3.65718,3.0473,131.037,15.057,0.49025,1.6679,26.9994,22.2117,356,5671,5598,244,2196
FMC_EUROPE,0,25,3.67388,3.0529,131.169,17.762,0.50943,1.8142,26.4801,25.9599,370,5641,5554,249,2184
FMC_EUROPE,0,26,3.63128,3.0735,131.372,12.78,0.49394,1.65,26.6129,19.2491,362,5589,5470,231,2178
FMC_EUROPE,0,27,3.64313,3.0671,131.504,17.094,0.56602,1.7379,26.4611,25.2033,312,5462,5410,216,2127
FMC_EUROPE,0,28,3.65905,3.0909,131.878,15.844,0.49424,1.6677,26.4038,23.8305,327,5487,5358,230,2118
FMC_EUROPE,0,29,3.67266,3.0888,131.531,13.95,0.48734,1.7007,26.061,21.4401,357,5389,5290,245,2092
FMC_EUROPE,0,30,3.69,3.1321,131.436,14.642,0.49857,1.7374,25.88,23.5336,364,5306,5196,242,2073
FMC_EUROPE,0,31,3.66622,3.1209,131.629,15.184,0.58521,1.6827,26.1262,24.6788,313,5213,5119,244,2026
FMC_EUROPE,0,32,3.67665,3.1252,131.867,15.734,0.50759,1.8185,25.8094,22.6282,320,5150,5045,211,1984
FMC_EUROPE,0,33,3.66242,3.1179,131.907,16.716,0.47619,1.7195,25.8373,24.9319,302,5033,4934,219,1927
